"Bharatiya Nyaya Sanhita, 2023","Indian Penal Code, 1860"
"207. Preventing service of summons or other proceeding, or preventing publication thereof.","173. Preventing service of summons or other proceeding, or preventing publication thereof."
208. Non-attendance in obedience to an order from public servant.,174. Non-attendance in obedience to an order from public servant.
"209. Non-appearance in response to a proclamation under section 84 of Bharatiya Nagarik Suraksha Sanhita , 2023.",174A. Non-appearance in response to a proclamation under section 82 of Act 2 of 1974.
210. Omission to produce document or electronic record to public servant by person legally bound to produce it.,175. Omission to produce document to public servant by person legally bound to produce it.
211. Omission to give notice or information to public servant by person legally bound to give it.,176. Omission to give notice or information to public servant by person legally bound to give it.
212. Furnishing false information.,177. Furnishing false information.
213. Refusing oath or affirmation when duly required by public servant to make it.,178. Refusing oath or affirmation when duly required by public servant to make it.
214. Refusing to answer public servant authorised to question.,179. Refusing to answer public servant authorised to question.
215. Refusing to sign statement.,180. Refusing to sign statement.
216. False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation.,181. False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation.
"217. False information, with intent to cause public servant to use his lawful power to injury of another person.","182. False information, with intent to cause public servant to use his lawful power to the injury of another."
218. Resistance to taking of property by lawful authority of a public servant.,183. Resistance to the taking of property by the lawful authority of a public servant.
219. Obstructing sale of property offered for sale by authority of public servant.,184. Obstructing sale of property offered for sale by authority of public servant.
220. Illegal purchase or bid for property offered for sale by authority of public servant.,185. Illegal purchase or bid for property offered for sale by authority of public servant.
221. Obstructing public servant in discharge of public functions.,186. Obstructing public servant in discharge of public functions.
222. Omission to assist public servant when bound by law to give assistance.,187. Omission to assist public servant when bound by law to give assistance.
223. Disobedience to order duly promulgated by public servant.,188. Disobedience to order duly promulgated by public servant.
224. Threat of injury to public servant.,189. Threat of injury to public servant.
225. Threat of injury to induce person to refrain from applying for protection to public servant.,190. Threat of injury to induce person to refrain from applying for protection to public servant.
226. Attempt to commit suicide to compel or restraint exercise of lawful power,New Section
CHAPTER XIV<para>OF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE,CHAPTER XI<para>OF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE
227. Giving false evidence.,191. Giving false evidence.
228. Fabricating false evidence.,192. Fabricating false evidence.
229. Punishment for false evidence.,193. Punishment for false evidence.
230. Giving or fabricating false evidence with intent to procure conviction of capital offence.,194. Giving or fabricating false evidence with intent to procure conviction of capital offence.
231. Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment.,195. Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment.
232. Threatening any person to give false evidence.,195A. Threatening any person to give false evidence.
233. Using evidence known to be false.,196. Using evidence known to be false.
234. Issuing or signing false certificate.,197. Issuing or signing false certificate
235. Using as true a certificate known to be false.,198. Using as true a certificate known to be false.
236. False statement made in declaration which is by law receivable as evidence.,199. False statement made in declaration which is by law receivable as evidence.
237. Using as true such declaration knowing it to be false.,200. Using as true such declaration knowing it to be false.
"238. Causing disappearance of evidence of offence, or giving false information to screen offender.","201. Causing disappearance of evidence of offence, or giving false information to screen offender."
239. Intentional omission to give information of offence by person bound to inform.,202. Intentional omission to give information of offence by person bound to inform.
240. Giving false information respecting an offence committed.,203. Giving false information respecting an offence committed.
241. Destruction of document or electronic record to prevent its production as evidence.,204. Destruction of document to prevent its production as evidence.
242. False personation for purpose of act or proceeding in suit or prosecution.,205. False personation for purpose of act or proceeding in suit or prosecution.
243. Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution.,206. Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution.
244. Fraudulent claim to property to prevent its seizure as forfeited or in execution.,207. Fraudulent claim to property to prevent its seizure as forfeited or in execution.
245. Fraudulently suffering decree for sum not due.,208. Fraudulently suffering decree for sum not due.
246. Dishonestly making false claim in Court.,209. Dishonesty making false claim in Court.
247. Fraudulently obtaining decree for sum not due.,210. Fraudulently obtaining decree for sum not due.
248. False charge of offence made with intent to injure.,211. False charge of offence made with intent to injure.
249. Harbouring offender.,212. Harbouring offender.
"250. Taking gift, etc., to screen an offender from punishment.","213. Taking gift, etc., to screen an offender from punishment."
251. Offering gift or restoration of property in consideration of screening offender.,214. Offering gift or restoration of property in consideration of screening offender.
"252. Taking gift to help to recover stolen property, etc.","215. Taking gift to help to recover stolen property, etc."
253. Harbouring offender who has escaped from custody or whose apprehension has been ordered.,216. Harbouring offender who has escaped from custody or whose apprehension has been ordered.
254. Penalty for harbouring robbers or dacoits.,216A.Penalty for harbouring robbers or dacoits.
255. Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture.,217. Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture.
256. Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture.,218. Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture.
"257. Public servant in judicial proceeding corruptly making report, etc., contrary to law.","219. Public servant in judicial proceeding corruptly making report, etc., contrary to law."
258. Commitment for trial or confinement by person having authority who knows that he is acting contrary to law.,220. Commitment for trial or confinement by person having authority who knows that he is acting contrary to law.
259. Intentional omission to apprehend on part of public servant bound to apprehend.,221. Intentional omission to apprehend on the part of public servant bound to apprehend.
260. Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed.,222. Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed.
261. Escape from confinement or custody negligently suffered by public servant.,223. Escape from confinement or custody negligently suffered by public servant.
262. Resistance or obstruction by a person to his lawful apprehension.,224. Resistance or obstruction by a person to his lawful apprehension.
263. Resistance or obstruction to lawful apprehension of another person.,225. Resistance or obstruction to lawful apprehension of another person.
"264. Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise provided for.","225A. Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise, provided for."
265. Resistance or obstruction to lawful apprehension or escape or rescue in cases not otherwise provided for.,"225B. Resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for."
266. Violation of condition of remission of punishment.,227. Violation of condition of remission of punishment.
267. Intentional insult or interruption to public servant sitting in judicial proceeding.,228. Intentional insult or interruption to public servant sitting in judicial proceeding.
268. Personation of an assessor.,229. Personation of a juror or assessor.
269. Failure by person released on bail bond or bond to appear in court.,229A. Failure by person released on bail or bond to appear in court.
Deleted,CHAPTER XIII<para>OF OFFENCES RELATING TO WEIGHTS AND MEASURES
Deleted,264. Fraudulent use of false instrument for weighing.
Deleted,265. Fraudulent use of false weight or measure.
Deleted,266. Being in possession of false weight or measure.
Deleted,267. Making or selling false weight or measure.
"CHAPTER XV<para>OF OFFENCES AFFECTING THE PUBLIC HEALTH, SAFETY, CONVENIENCE, DECENCY AND MORALS","CHAPTER XIV<para>OF OFFENCES AFFECTING THE PUBLIC HEALTH, SAFETY, CONVENIENCE, DECENCY AND MORALS"
270. Public nuisance.,268. Public nuisance.
271. Negligent act likely to spread infection of disease dangerous to life.,269. Negligent act likely to spread infection of disease dangerous to life.
272. Malignant act likely to spread infection of disease dangerous to life.,270. Malignant act likely to spread infection of disease dangerous to life.
273. Disobedience to quarantine rule.,271. Disobedience to quarantine rule.
274. Adulteration of food or drink intended for sale.,272. Adulteration of food or drink intended for sale.
275. Sale of noxious food or drink.,273. Sale of noxious food or drink.
276. Adulteration of drugs.,274. Adulteration of drugs.
277. Sale of adulterated drugs.,275. Sale of adulterated drugs.
278. Sale of drug as a different drug or preparation.,276. Sale of drug as a different drug or preparation.
279. Fouling water of public spring or reservoir.,277. Fouling water of public spring or reservoir.
280. Making atmosphere noxious to health.,278. Making atmosphere noxious to health.
281. Rash driving or riding on a public way.,279. Rash driving or riding on a public way.
282. Rash navigation of vessel.,280. Rash navigation of vessel.
"283. Exhibition of false light, mark or buoy.","281. Exhibition of false light, mark or buoy."
284. Conveying person by water for hire in unsafe or overloaded vessel.,282. Conveying person by water for hire in unsafe or overloaded vessel.
285. Danger or obstruction in public way or line of navigation.,283. Danger or obstruction in public way or line of navigation.
286. Negligent conduct with respect to poisonous substance.,284. Negligent conduct with respect to poisonous substance.
287. Negligent conduct with respect to fire or combustible matter.,285. Negligent conduct with respect to fire or combustible matter.
288. Negligent conduct with respect to explosive substance.,286. Negligent conduct with respect to explosive substance.
289. Negligent conduct with respect to machinery.,287. Negligent conduct with respect to machinery.
"290. Negligent conduct with respect to pulling down, repairing or constructing buildings etc.",288. Negligent conduct with respect to pulling down or repairing buildings.
291. Negligent conduct with respect to animal.,289. Negligent conduct with respect to animal.
292. Punishment for public nuisance in cases not otherwise provided for.,290. Punishment for public nuisance in cases not otherwise provided for.
293. Continuance of nuisance after injunction to discontinue.,291. Continuance of nuisance after injunction to discontinue.
"294. Sale, etc., of obscene books, etc.","292. Sale, etc., of obscene books, etc."
"295. Sale, etc., of obscene objects to child.","293. Sale, etc., of obscene objects to young person."
296. Obscene acts and songs.,294. Obscene acts and songs
297. Keeping lottery office.,294A. Keeping lottery office.
CHAPTER XVI<para>OF OFFENCES RELATING TO RELIGION,CHAPTER XV<para>OF OFFENCES RELATING TO RELIGION
298. Injuring or defiling place of worship with intent to insult religion of any class.,"295. Injuring or defiling place of worship, with intent to insult the religion of any class."
"299. Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs.","295A. Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs."
300. Disturbing religious assembly.,296. Disturbing religious assembly.
"301. Trespassing on burial places, etc.","297. Trespassing on burial places, etc."
"302. Uttering words, etc., with deliberate intent to wound religious feelings of any person.","298. Uttering words, etc., with deliberate intent to wound religious feelings of any person."
CHAPTER XVII<para>OF OFFENCES AGAINST PROPERTY,CHAPTER XVII<para>OF OFFENCES AGAINST PROPERTY
303. Theft.<para>303(1),378. Theft.
303(2),379. Punishment for theft.
304. Snatching.,New Section
"305. Theft in a dwelling house, or means of transportation or place of worship, etc.","380. Theft in dwelling house, etc."
306. Theft by clerk or servant of property in possession of master.,381. Theft by clerk or servant of property in possession of master.
"307. Theft after preparation made for causing death, hurt or restraint in order to committing of theft.","382. Theft after preparation made for causing death, hurt or restraint in order to the committing of the theft."
Of extortion,Of Extortion
308. Extortion.<para>308(1),383. Extortion.
308(2),384. Punishment for extortion.
308(3),385. Putting person in fear of injury in order to commit extortion.
308(4),"387. Putting person in fear of death or of grievous hurt, in order to commit extortion."
308(5),386. Extortion by putting a person in fear of death or grievous hurt.
308(6),"389. Putting person in fear or accusation of offence, in order to commit extortion."
308(7),"388. Extortion by threat of accusation of an offence punishable with death or imprisonment for life, etc."
Of robbery and dacoity,Of Robbery and Dacoity
309. Robbery.<para>309(1)(2)(3),390. Robbery.
309(4),392. Punishment for robbery.
309(5),393. Attempt to commit robbery.
309(6),394. Voluntarily causing hurt in committing robbery.
310. Dacoity<para>310(1),391. Dacoity.
310(2),395. Punishment for dacoity.
310(3),396. Dacoity with murder.
310(4),399. Making preparation to commit dacoity.
310(5),402. Assembling for purpose of committing dacoity.
310(6),400. Punishment for belonging to gang of dacoits.
"311. Robbery, or dacoity, with attempt to cause death or grievous hurt.","397. Robbery, or dacoity, with attempt to cause death or grievous hurt."
312. Attempt to commit robbery or dacoity when armed with deadly weapon.,398. Attempt to commit robbery or dacoity when armed with deadly weapon.
"313. Punishment for belonging to gang of robbers, dacoits, etc.",401. Punishment for belonging to gang of thieves.
Of criminal misappropriation of property,Of Criminal Misappropriation of Property
314. Dishonest misappropriation of property.,403. Dishonest misappropriation of property.
315. Dishonest misappropriation of property possessed by deceased person at the time of his death.,404. Dishonest misappropriation of property possessed by deceased person at the time of his death.
Of criminal breach of trust,Of Criminal Breach of Trust
316. Criminal breach of trust.<para>316(1),405. Criminal breach of trust.
316(2),406. Punishment for criminal breach of trust.
316(3),"407. Criminal breach of trust by carrier, etc."
316(4),408. Criminal breach of trust by clerk or servant.
316(5),"409. Criminal breach of trust by public servant, or by banker, merchant or agent."
Of receiving stolen property,Of the Receiving of Stolen Property
317. Stolen property.<para>317(1),410. Stolen property.
317(2),411. Dishonestly receiving stolen property.
317(3),412. Dishonestly receiving property stolen in the commission of a dacoity.
317(4),413. Habitually dealing in stolen property.
317(5),414. Assisting in concealment of stolen property.
Of cheating,Of Cheating
318. Cheating.<para>318(1),415. Cheating.
318(2),417. Punishment for cheating.
318(3)<para>,418. Cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect.
318(4),420. Cheating and dishonestly inducing delivery of property.
Cheating by personation<para>319(1),416.Cheating by personation.
319(2),419. Punishment of cheating by personation.
Of fraudulent deeds and dispositions of property.,Of Fraudulent Deeds and Dispositions Of Property.
320. Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors.,421. Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors.
321. Dishonestly or fraudulently preventing debt being available for creditors.,422. Dishonestly or fraudulently preventing debt being available for creditors.
322. Dishonest or fraudulent execution of deed of transfer containing false statement of consideration.,423. Dishonest or fraudulent execution of deed of transfer containing false statement of consideration.
323. Dishonest or fraudulent removal or concealment of property.,424. Dishonest or fraudulent removal or concealment of property.
Of mischief,Of Mischief
324. Mischief.<para>324(1),425. Mischief.
324(2),426. Punishment for mischief.
324(3),New Sub- Section
324(4),427. Mischief causing damage to the amount of fifty rupees.
324(5),New Sub-Section
324(6),440. Mischief committed after preparation made for causing death or hurt.
325. Mischief by killing or maiming animal.,"428. Mischief by killing or maiming animal of the value of ten rupees.<para>429. Mischief by killing or maiming cattle, etc., of any value or any animal of the value of fifty rupees."
"326. Mischief by injury, inundation, fire or explosive substance, etc.<para>326(a)",430. Mischief by injury to works of irrigation or by wrongfully diverting water.
326(b),"431. Mischief by injury to public road, bridge, river or channel."
326(c),432. Mischief by causing inundation or obstruction to public drainage attended with damage.
326(d)<para>,"433. Mischief by destroying, moving or rendering less useful a light-house or sea-mark."
326(e)<para>,"434. Mischief by destroying or moving, etc., a land-mark fixed by public authority."
326(f),435. Mischief by fire or explosive substance with intent to cause damage to amount of one hundred or (in case of agricultural produce) ten rupees.
326(g),"436. Mischief by fire or explosive substance with intent to destroy house, etc."
"327. Mischief with intent to destroy or make unsafe a rail, aircraft, decked vessel or one of twenty tons burden.<para>327(1)",437. Mischief with intent to destroy or make unsafe a decked vessel or one of twenty tons burden.
327(2),438. Punishment for the mischief described in section 437 committed by fire or explosive substance.
"328. Punishment for intentionally running vessel aground or ashore with intent to commit theft, etc.","439. Punishment for intentionally running vessel aground or ashore with intent to commit theft, etc."
Of criminal trespass,Of Criminal Trespass
329. Criminal trespass and house-trespass.<para>329(1),441. Criminal trespass.
329(2),442. House-trespass.
329(3),447. Punishment for criminal trespass.
329(4),448. Punishment for house-trespass.
330. House-trespass and house-breaking.<para>330(1),443. Lurking house-trespass.
Deleted,444. Lurking house-trespass by night.
330(2),445. House-breaking.
Deleted,446. House-breaking by night.
331. Punishment for house-trespass or house-breaking.<para>331(1),453. Punishment for lurking house-trespass or house-breaking.
331(2)<para>,456. Punishment for lurking house-trespass or house-breaking by night.
331(3),454. Lurking house-trespass or house-breaking in order to commit offence punishable with imprisonment.
331(4),457. Lurking house-trespass or house-breaking by night in order to commit offence punishable with imprisonment.
331(5)<para>,"455. Lurking house-trespass or house-breaking after preparation for hurt, assault or wrongful restraint."
331(6),"458. Lurking house-trespass or house-breaking by night after preparation for hurt, assault, or wrongful restraint."
331(7),459. Grievous hurt caused whilst committing lurking house-trespass or house-breaking.
331(8),460. All persons jointly concerned in lurking house-trespass or house-breaking by night punishable where death or grievous hurt caused by one of them.
332. House-trespass in order to commit offence.<para>332(a),449. House-trespass in order to commit offence punishable with death.
332(b)<para>,450. House-trespass in order to commit offence punishable with imprisonment for life.
332(c)<para>,451. House-trespass in order to commit offence punishable with imprisonment.
"333. House-trespass after preparation for hurt, assault or wrongful restraint.","452. House-trespass after preparation for hurt, assault or wrongful restraint."
334. Dishonestly breaking open receptacle containing property.<para>334(1),461. Dishonestly breaking open receptacle containing property.
334(2),462. Punishment for same offence when committed by person entrusted with custody.
CHAPTER XVIII<para>OF OFFENCES RELATING TO DOCUMENTS AND TO PROPERTY MARKS,CHAPTER XVIII<para>OF OFFENCES RELATING TO DOCUMENTS AND TO PROPERTY MARKS
335. Making a false document.,464. Making a false document.
336. Forgery<para>336(1),463. Forgery.
336(2),465. Punishment for forgery.
336(3),468. Forgery for purpose of cheating.
336(4),469. Forgery for purpose of harming reputation.
"337. Forgery of record of Court or of public register, etc.","466. Forgery of record of Court or of public register, etc."
"338. Forgery of valuable security, will, etc.","467. Forgery of valuable security, will, etc."
"339. Having possession of document described in section 337 or section 338, knowing it to be forged and intending to use it as genuine.","474. Having possession of document described in section 466 or 467, knowing it to be forged and intending to use it genuine."
340. Forged document or electronic record and using it as genuine.<para>340(1),470. Forged document or electronic record.
340(2),471. Using as genuine a forged document or electronic record.
"341. Making or possessing counterfeit seal, etc., with intent to commit forgery punishable under section 338.<para>341(1)","472. Making or possessing counterfeit seal, etc., with intent to commit forgery punishable under section 467."
341(2),"473. Making or possessing counterfeit seal, etc., with intent to commit forgery punishable otherwise."
341(3),New Sub-Section<para>
341(4),New Sub-Section
"342. Counterfeiting device or mark used for authenticating documents described in section 338, or possessing counterfeit marked material.<para>342(1)","475. Counterfeiting device or mark used for authenticating documents described in section 467, or possessing counterfeit marked material."
342(2),"476. Counterfeiting device or mark used for authenticating documents other than those described in section 467, or possessing counterfeit marked material."
"343. Fraudulent cancellation, destruction, etc., of will, authority to adopt, or valuable security.","477. Fraudulent cancellation, destruction, etc., of will, authority to adopt, or valuable security."
344. Falsification of accounts.,477A. Falsification of accounts.
Of property marks,Of Property and Other Marks
345. Property mark.<para>345(1),479. Property mark.
345(2),481. Using a false property mark.
345(3),482. Punishment for using a false property mark.
346. Tampering with property mark with intent to cause injury.,489. Tampering with property mark with intent to cause injury.
347. Counterfeiting a property mark.<para>347(1),483. Counterfeiting a property mark used by another.
347(2),484. Counterfeiting a mark used by a public servant.
348. Making or possession of any instrument for counterfeiting a property mark.,485. Making or possession of any instrument for counterfeiting a property mark.
349. Selling goods marked with a counterfeit property mark.,486. Selling goods marked with a counterfeit property mark.
350. Making a false mark upon any receptacle containing goods.<para>350(1),487. Making a false mark upon any receptacle containing goods.
350(2),488. Punishment for making use of any such false mark.
"CHAPTER XIX<para>OF CRIMINAL INTIMIDATION, INSULT, ANNOYANCE, DEFAMATION, ETC.","CHAPTER XXII<para>OF CRIMINAL INTIMIDATION, INSULT AND ANNOYANCE"
351. Criminal intimidation.<para>351(1),503. Criminal intimidation.
"351(2), 351(3)",506. Punishment for criminal intimidation.
351(4),507. Criminal intimidation by an anonymous communication.
352. Intentional insult with intent to provoke breach of peace.,504. Intentional insult with intent to provoke breach of the peace.
353. Statements conducing to public mischief.,505. Statements conducing to public mischief
354. Act caused by inducing person to believe that he will be rendered an object of Divine displeasure.,508. Act caused by inducing person to believe that he will be rendered an object of the Divine displeasure.
355. Misconduct in public by a drunken person.,510. Misconduct in public by a drunken person.
Of defamation,CHAPTER XXI<para>OF DEFAMATION
356. Defamation.<para>356(1),499. Defamation.
356(2),500. Punishment for defamation.
356(3),501. Printing or engraving matter known to be defamatory.
356(4),502. Sale of printed or engraved substance containing defamatory matter.
Of breach of contract to attend on and supply wants of helpless person.,CHAPTER XIX<para>OF THE CRIMINAL BREACH OF CONTRACTS OF SERVICE
357. Breach of contract to attend on and supply wants of helpless person,491. Breach of contract to attend on and supply wants of helpless person.
Chapter XX – Repeal and Saving,
358. Repeal and savings,New Section
